"cargo","ciudad","link","empresa","fpublicacion"
"Repartidor Vehículo Propio (Auto o Moto) Papa John'S Pizza San Damian las Condes","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/repartidor-vehiculo-propio-auto-o-moto-papa-john-s-pizza-san-damian-las-condes-papa-john-s-pizza-1002326212.html","Papa John´s Pizza","31 de agosto de 2015"
"Anfitrionas para McDonald's","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/anfitrionas-para-mcdonald-s-mcdonald-s-1000624668.html","McDonald's","03 de agosto de 2015"
"Personal Part Time - Papa John's Pizza Huechuraba","Huechuraba, Región Metropolitana","http://www.bumeran.cl/empleos/personal-part-time-papa-john-s-pizza-huechuraba-papa-john-s-pizza-1001542618.html","Papa John´s Pizza","31 de agosto de 2015"
"Jefes de Turno Papa John's Pizza Colina","Colina, Región Metropolitana","http://www.bumeran.cl/empleos/jefes-de-turno-papa-john-s-pizza-colina-papa-john-s-pizza-1001420603.html","Papa John´s Pizza","31 de agosto de 2015"
"Curicó Marca de bebidas necesita reponedores fiestas patrias $8.000 diario Full Time","Curicó, Región VII","http://www.bumeran.cl/empleos/curico-marca-de-bebidas-necesita-reponedores-fiestas-patrias-$8.000-diario-full-time-ecr-group-1002586803.html","ECR group","31 de agosto de 2015"
"Repartidor Part Time con Vehiculo Propio Auto o Moto Local Viña del Mar 2","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/repartidor-part-time-con-vehiculo-propio-auto-o-moto-local-vina-del-mar-2-papa-john-s-pizza-1000870533.html","Papa John´s Pizza","31 de agosto de 2015"
"Jefes de Turno - Nuevo Papa John's Pizza Catedral","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/jefes-de-turno-nuevo-papa-john-s-pizza-catedral-papa-john-s-pizza-1002581854.html","Papa John´s Pizza","31 de agosto de 2015"
"Personal Full Time - Papa John'S Carlos Silva Vildosola / la Reina","La Reina, Región Metropolitana","http://www.bumeran.cl/empleos/personal-full-time-papa-john-s-carlos-silva-vildosola-la-reina-papa-john-s-pizza-1001897869.html","Papa John´s Pizza","31 de agosto de 2015"
"Talca Marca de bebidas necesita reponedores fiestas patrias $8.000 diario Full Time","Talca, Región VII","http://www.bumeran.cl/empleos/talca-marca-de-bebidas-necesita-reponedores-fiestas-patrias-$8.000-diario-full-time-ecr-group-1002586804.html","ECR group","31 de agosto de 2015"
"Key Account Manager- KAM","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/key-account-manager-kam-componente-humano-1002587030.html","Componente Humano","31 de agosto de 2015"
