"cargo","ciudad","link","empresa","fpublicacion"
"Secretaria Recepcionista - con experiencia en R.Metropolitana - Ingermarket","Santiago - Pudahuel","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-secretaria-recepcionista-con-experiencia-en-santiago-pudahuel-9B0F530A0414E7AF","Ingermarket","Ayer, 03:17 pm"
"Se necesita junior administrativo interno empresa rubro ferretero sector Renca - $300.000 liquido de lunes a viernes en R.Metropolitana - Isam","Santiago - Renca","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-se-necesita-junior-administrativo-interno-empresa-rubro-ferretero-sector-renca-300000-liquido-de-lunes-a-viernes-en-santiago-renca-A7362133203ADDA0","Isam","Ayer, 06:02 pm"
"Auxiliar de Aseo en R.Metropolitana - Empresa Retail","Santiago - Quilicura","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-aseo-en-santiago-quilicura-91502DC8C8CC9DA8","Empresa Retail","Ayer, 10:13 pm (actualizada)"
"Vendedores - Los Andes San Felipe Aconcagua en Valparaíso - Consultora Tremac","Los Andes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-los-andes-san-felipe-aconcagua-en-los-andes-F5F6991F895CE04A","Consultora Tremac","Ayer, 04:19 pm (actualizada)"
"Ayudante de Operaciones en R.Metropolitana - Be on Time","Santiago - Estación Central","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-operaciones-en-santiago-estacion-central-280BC9B616245CBF","Be on Time","Ayer, 03:17 pm"
"Soldador  en R.Metropolitana - Resmain","Puente Alto","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-soldador--en-puente-alto-05E60EF5677D1EA0","Resmain","Ayer, 03:17 pm"
"Técnico en Laboratorio Clínico y Banco de Sangre en R.Metropolitana - Hospital Clínico San José","Santiago - Independencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-laboratorio-clinico-y-banco-de-sangre-en-santiago-independencia-CBB5551D9D2BA35B","Hospital Clínico San José","Ayer, 03:17 pm"
"Administrador - con experiencia en contabilidad y remuneraciones en R.Metropolitana - Marcela Farfan","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-administrador-con-experiencia-en-contabilidad-y-remuneraciones-en-santiago-providencia-382CD1C2A082814B","Marcela Farfan","Ayer, 03:17 pm"
"Ejecutivo Call Center en R.Metropolitana - Mediconecta","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-call-center-en-santiago-las-condes-2D24F044456F20D6","Mediconecta","Ayer, 03:17 pm"
"Contador auditor en Maule - grupo UNE","Curicó","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-contador-auditor-en-curico-98EEED277B17844F","grupo UNE","Ayer, 03:17 pm"
