"cargo","ciudad","link","empresa","fpublicacion"
"Práctica Estudiante Informática COD: C134","Providencia","http://www.trabajando.cl/empleos/ofertas/2690022/Practica_Estudiante_Informatica_COD_C134.html","","31-08-2015"
"OPERARIO DE BODEGA","Lo Boza 107, Pudahuel","http://www.trabajando.cl/empleos/ofertas/2692324/OPERARIO_DE_BODEGA.html","OPKO","31-08-2015"
"¿Quieres Trabajar en Call Center y No Tienes Experiencia? ¡¡¡Nosotros Te Capacitamos!!!","Macul","http://www.trabajando.cl/empleos/ofertas/2639612/Quieres_Trabajar_en_Call_Center_y_No_Tienes_Experiencia_Nosotros_Te_Capacitamos.html","Konecta","31-08-2015"
"Atención al Cliente - Renta $313.000 Liq Mas Crosselling","Macul","http://www.trabajando.cl/empleos/ofertas/2639931/Atencion_al_Cliente_Renta_313_000_Liq_Mas_Crosselling.html","Importante Call Center","31-08-2015"
"Mercaderista de Abarrotes y Comestibles","Rancagua","http://www.trabajando.cl/empleos/ofertas/2687488/Mercaderista_de_Abarrotes_y_Comestibles.html","Supermercados CUGAT","31-08-2015"
"Auxilar de Aseo","Maipu","http://www.trabajando.cl/empleos/ofertas/2596511/Auxilar_de_Aseo.html","Auxiliar de Aseo","31-08-2015"
"SOPORTE TÉCNICO FIJO 30 HRS.","VALPARAISO","http://www.trabajando.cl/empleos/ofertas/2693645/SOPORTE_TECNICO_FIJO_30_HRS.html","Atento Chile S.A.","31-08-2015"
"SOPORTE TÉCNICO FIJO 45 HRS.","VALPARAISO","http://www.trabajando.cl/empleos/ofertas/2693647/SOPORTE_TECNICO_FIJO_45_HRS.html","Atento Chile S.A.","31-08-2015"
"Supervisor INGENIERO EJECUCIÓN","Santiago","http://www.trabajando.cl/empleos/ofertas/2691664/Supervisor_INGENIERO_EJECUCION.html","Importante Empresa de Sevicios","31-08-2015"
"Operador de Tinturado","Pudahuel","http://www.trabajando.cl/empleos/ofertas/2693639/Operador_de_Tinturado.html","Importante Empresa Logística","31-08-2015"
"Técnico Electricista Curicó","Curicó","http://www.trabajando.cl/empleos/ofertas/2687631/Tecnico_Electricista_Curico.html","Adecco Rancagua","31-08-2015"
"Auxiliar de Enfermería 30 horas semanales","Quilicura","http://www.trabajando.cl/empleos/ofertas/2693631/Auxiliar_de_Enfermeria_30_horas_semanales.html","Empresa de Salud","31-08-2015"
"Asesor de Compra","La Serena","http://www.trabajando.cl/empleos/ofertas/2689741/Asesor_de_Compra.html","Falabella Retail S.A.","31-08-2015"
"Cajera Murano Nike Casa Costanera","Parque Bicentenario, Vitacura.","http://www.trabajando.cl/empleos/ofertas/2688654/Cajera_Murano_Nike_Casa_Costanera.html","Murano Nike","31-08-2015"
"Ejecutivo de atención al cliente","Enjoy Chiloé","http://www.trabajando.cl/empleos/ofertas/2690484/Ejecutivo_de_atencion_al_cliente.html","Enjoy (Chiloé)","31-08-2015"
"PRACTICA TECNICA- Soporte Informatico","Macul","http://www.trabajando.cl/empleos/ofertas/2687395/PRACTICA_TECNICA_Soporte_Informatico.html","Telepizza S.A.","31-08-2015"
"Asistente comercial","Las Condes","http://www.trabajando.cl/empleos/ofertas/2693630/Asistente_comercial.html","Tecnología","31-08-2015"
"Encargado de Contabilidad","Colina","http://www.trabajando.cl/empleos/ofertas/2656211/Encargado_de_Contabilidad.html","Importante empresa Logística","31-08-2015"
"Operador CCO-P","Santiago","http://www.trabajando.cl/empleos/ofertas/2686059/Operador_CCO_P.html","Importante Empresa de Sevicios","31-08-2015"
"Práctica de Ingeniería en informatica","ñuñoa","http://www.trabajando.cl/empleos/ofertas/2686082/Practica_de_Ingenieria_en_informatica.html","prestigiosa empresa","31-08-2015"
"Práctica de Informática","Parque industrial Enea - Pudahuel","http://www.trabajando.cl/empleos/ofertas/2599556/Practica_de_Informatica.html","Servicios a la mineria","31-08-2015"
"Operario Temporada Bodega","Renca","http://www.trabajando.cl/empleos/ofertas/2689200/Operario_Temporada_Bodega.html","Coca Cola Andina","31-08-2015"
"Auxiliar de Limpieza, Independencia","Independencia","http://www.trabajando.cl/empleos/ofertas/2320181/Auxiliar_de_Limpieza_Independencia.html","importante empresa","31-08-2015"
"ASISTENTE DE SALA  - Rancagua","CORONA","http://www.trabajando.cl/empleos/ofertas/1458780/ASISTENTE_DE_SALA_Rancagua.html","Multitiendas Corona","03-08-2015"
"Lavador de Automóviles Santiago Centro","Santiago Centro Argomedo","http://www.trabajando.cl/empleos/ofertas/2688162/Lavador_de_Automoviles_Santiago_Centro.html","Lavador de Automóviles Santiago Centro","31-08-2015"
"Anfitriona Rancagua","Rancahua","http://www.trabajando.cl/empleos/ofertas/2475944/Anfitriona_Rancagua.html","Importante Empresa de Telecomunicaciones","14-08-2015"
"SOPORTE TÉCNICO FIJO 30 HRS.","VALPARAISO","http://www.trabajando.cl/empleos/ofertas/2692137/SOPORTE_TECNICO_FIJO_30_HRS.html","Atento Chile S.A.","29-08-2015"
"Encargado Bodega y pañol área de mantención Curicó","Curicó","http://www.trabajando.cl/empleos/ofertas/2686062/Encargado_Bodega_y_panol_area_de_mantencion_Curico.html","Adecco Rancagua","27-08-2015"
"Técnico Terreno Talca","Talca","http://www.trabajando.cl/empleos/ofertas/2684372/Tecnico_Terreno_Talca.html","Adecco Rancagua","28-08-2015"
"Tec. enfermería para servicio de pabellon","Estación Central.","http://www.trabajando.cl/empleos/ofertas/2684616/Tec_enfermeria_para_servicio_de_pabellon.html","CHP","31-08-2015"
"CAJERO DE TIENDA-SANTIAGO CENTRO (SÁBADOS Y DOMINGOS)","Santiago","http://www.trabajando.cl/empleos/ofertas/2686933/CAJERO_DE_TIENDA_SANTIAGO_CENTRO_SABADOS_Y_DOMINGOS.html","Hites","31-08-2015"
"Técnico Terreno Curicó","Curicó","http://www.trabajando.cl/empleos/ofertas/2684364/Tecnico_Terreno_Curico.html","Adecco Rancagua","28-08-2015"
"Ejecutivo de atención al cliente","Enjoy Chiloé","http://www.trabajando.cl/empleos/ofertas/2662610/Ejecutivo_de_atencion_al_cliente.html","Enjoy (Chiloé)","13-08-2015"
"Jefe de Contabilidad","Las Condes","http://www.trabajando.cl/empleos/ofertas/2683011/Jefe_de_Contabilidad.html","Siete Comunicaciones","27-08-2015"
"Encargado Contable","Cerrillos","http://www.trabajando.cl/empleos/ofertas/2685019/Encargado_Contable.html","VIRTUS LABORAL","27-08-2015"
"Tec. enfermería para Medico-Quirúrgico (reemplazo)","Estación Central.","http://www.trabajando.cl/empleos/ofertas/2684638/Tec_enfermeria_para_Medico_Quirurgico_reemplazo.html","CHP","31-08-2015"
"Ejecutivo Call Center","Independencia","http://www.trabajando.cl/empleos/ofertas/2584715/Ejecutivo_Call_Center.html","Importante Empresa de Servicios","31-08-2015"
"Administrativo Logistico. Sector Peñaflor - Talagante","Comuna Peñaflor - Talagante","http://www.trabajando.cl/empleos/ofertas/2682968/Administrativo_Logistico_Sector_Penaflor_Talagante.html","Industria de Alimentos.","27-08-2015"
"Supervisor INGENIERO EJECUCIÓN","Santiago","http://www.trabajando.cl/empleos/ofertas/2691650/Supervisor_INGENIERO_EJECUCION.html","Importante Empresa de Sevicios","31-08-2015"
"Asistente Logístico EG","Las Condes","http://www.trabajando.cl/empleos/ofertas/2637358/Asistente_Logistico_EG.html","Adecco EG","11-08-2015"
